metric,approach,instance,value,prompt_ver,id,stratum
shacl,GPT_3_Turbo_16K,pred,0.9090909173553712,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7d7a317d2ba15dc594fcb8a29739b54c_WebPage_Organization_shacl.csv,1
shacl,GPT_3_Turbo_16K,expected,0.714285734693876,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7d7a317d2ba15dc594fcb8a29739b54c_WebPage_Organization_shacl.csv,1
shacl,GPT_3_Turbo_16K,pred,0.7619047732426298,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/43abb6a0ee1c114a7923f56ef5e9df0c_Article_shacl.csv,1
shacl,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/43abb6a0ee1c114a7923f56ef5e9df0c_Article_shacl.csv,1
shacl,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/759d65f8a527a9ed0764dbf746010506_TVEpisode_shacl.csv,1
shacl,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/759d65f8a527a9ed0764dbf746010506_TVEpisode_shacl.csv,1
factual,GPT_3_Turbo_16K,pred,0.8181818181818182,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7d7a317d2ba15dc594fcb8a29739b54c_WebPage_Organization_factual.csv,1
factual,GPT_3_Turbo_16K,expected,0.8571428571428571,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7d7a317d2ba15dc594fcb8a29739b54c_WebPage_Organization_factual.csv,1
factual,GPT_3_Turbo_16K,pred,0.9523809523809524,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/43abb6a0ee1c114a7923f56ef5e9df0c_Article_factual.csv,1
factual,GPT_3_Turbo_16K,expected,0.9090909090909092,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/43abb6a0ee1c114a7923f56ef5e9df0c_Article_factual.csv,1
factual,GPT_3_Turbo_16K,pred,0.6842105263157895,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/759d65f8a527a9ed0764dbf746010506_TVEpisode_factual.csv,1
factual,GPT_3_Turbo_16K,expected,0.9230769230769231,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/759d65f8a527a9ed0764dbf746010506_TVEpisode_factual.csv,1
