entry,nbText,nbRdfa,nbMicrodata,nbJsonld
http://schema.org/AcceptAction,1,1,1,1
http://schema.org/Accommodation,2,2,2,2
http://schema.org/Apartment,1,1,1,1
http://schema.org/floorSize,2,2,2,2
http://schema.org/occupancy,2,2,2,2
http://schema.org/SingleFamilyResidence,1,1,1,1
http://schema.org/leaseLength,1,1,1,1
http://schema.org/AchieveAction,1,1,1,1
http://schema.org/Action,2,2,2,2
http://schema.org/ActionAccessSpecification,1,1,1,1
http://schema.org/ListenAction,4,4,4,4
http://schema.org/MediaSubscription,1,1,1,1
http://schema.org/AddAction,2,2,2,2
http://schema.org/AdministrativeArea,2,2,2,2
http://schema.org/GovernmentOrganization,2,2,2,2
http://schema.org/GovernmentPermit,1,1,1,1
http://schema.org/GovernmentService,3,3,3,3
http://schema.org/ContactPoint,3,3,3,3
http://schema.org/Hospital,1,1,1,1
http://schema.org/Language,2,2,2,2
http://schema.org/AggregateOffer,2,2,2,2
http://schema.org/AggregateRating,4,4,4,4
http://schema.org/Offer,15,16,16,16
http://schema.org/Product,3,3,3,3
http://schema.org/aggregateRating,3,3,3,3
http://schema.org/image,3,3,3,3
http://schema.org/offers,2,2,2,2
http://schema.org/Event,18,17,17,19
http://schema.org/Place,10,11,11,11
http://schema.org/PostalAddress,12,13,13,13
http://schema.org/address,4,4,4,4
http://schema.org/location,1,1,1,1
http://schema.org/offerCount,1,1,1,1
http://schema.org/startDate,1,1,1,1
http://schema.org/FoodEstablishment,2,2,2,2
http://schema.org/LocalBusiness,4,4,4,4
http://schema.org/Restaurant,3,3,3,3
http://schema.org/ratingValue,2,2,2,2
http://schema.org/reviewCount,2,2,2,2
http://schema.org/Book,6,6,6,6
http://schema.org/CreativeWork,11,11,11,11
http://schema.org/Review,3,3,3,3
http://schema.org/WebPage,2,2,2,2
http://schema.org/mainEntity,2,2,2,2
http://schema.org/InStock,1,1,1,1
http://schema.org/Rating,2,2,2,2
http://schema.org/availability,1,1,1,1
http://schema.org/price,1,1,1,1
http://schema.org/AgreeAction,1,1,1,1
http://schema.org/Airport,1,1,1,1
http://schema.org/AlbumRelease,1,1,1,1
http://schema.org/MusicAlbum,4,4,4,4
http://schema.org/MusicGroup,5,6,6,6
http://schema.org/MusicRelease,2,2,2,2
http://schema.org/StudioAlbum,1,1,1,1
http://schema.org/AlignmentObject,1,1,1,1
http://schema.org/alignmentType,1,1,1,1
http://schema.org/educationalAlignment,1,1,1,1
http://schema.org/educationalFramework,1,1,1,1
http://schema.org/educationalLevel,3,3,3,3
http://schema.org/targetName,1,1,1,1
http://schema.org/targetUrl,1,1,1,1
http://schema.org/timeRequired,1,1,1,1
http://schema.org/typicalAgeRange,1,1,1,1
http://schema.org/AllocateAction,1,1,1,1
http://schema.org/AmusementPark,1,1,1,1
http://schema.org/TouristAttraction,9,9,9,9
http://schema.org/currenciesAccepted,1,1,1,1
http://schema.org/isAccessibleForFree,4,4,4,4
http://schema.org/openingHours,2,2,2,2
http://schema.org/paymentAccepted,1,1,1,1
http://schema.org/Answer,2,2,2,2
http://schema.org/Question,3,3,3,3
http://schema.org/ReplyAction,1,1,1,1
http://schema.org/AppendAction,1,1,1,1
http://schema.org/ApplyAction,1,1,1,1
http://schema.org/ArchiveComponent,3,3,3,3
http://schema.org/holdingArchive,1,1,1,1
http://schema.org/conditionsOfAccess,2,2,2,2
http://schema.org/ArchiveOrganization,1,1,1,1
http://schema.org/archiveHeld,1,1,1,1
http://schema.org/ArriveAction,1,1,1,1
http://schema.org/Article,4,4,4,4
http://schema.org/about,1,1,1,1
