metric,approach,instance,value,prompt_ver,sample_feature,stratum,document_id,document_classes
semantic,GPT_4_Turbo_Preview,pred,1.0,text2kg_prompt3,pset_length,stratum_1,7d7a317d2ba15dc594fcb8a29739b54c,WebPage_Organization
semantic,GPT_4_Turbo_Preview,expected,1.0,text2kg_prompt3,pset_length,stratum_1,7d7a317d2ba15dc594fcb8a29739b54c,WebPage_Organization
jaccardms,GPT_4_Turbo_Preview,pred,1.0,text2kg_prompt3,pset_length,stratum_1,7d7a317d2ba15dc594fcb8a29739b54c,WebPage_Organization
jaccardms,GPT_4_Turbo_Preview,expected,0.25,text2kg_prompt3,pset_length,stratum_1,7d7a317d2ba15dc594fcb8a29739b54c,WebPage_Organization
semantic,GPT_4_Turbo_Preview,pred,0.9230769230769232,text2kg_prompt3,pset_length,stratum_1,8c9f4567b5e1d659e71fa8075eb0638e,Question
semantic,GPT_4_Turbo_Preview,expected,1.0,text2kg_prompt3,pset_length,stratum_1,8c9f4567b5e1d659e71fa8075eb0638e,Question
shacl,GPT_4_Turbo_Preview,pred,0.7931034554102256,text2kg_prompt3,pset_length,stratum_1,7d7a317d2ba15dc594fcb8a29739b54c,WebPage_Organization
shacl,GPT_4_Turbo_Preview,expected,0.714285734693876,text2kg_prompt3,pset_length,stratum_1,7d7a317d2ba15dc594fcb8a29739b54c,WebPage_Organization
jaccardms,GPT_4_Turbo_Preview,pred,0.7142857142857143,text2kg_prompt3,pset_length,stratum_1,15c8791c4cab6c6a950393560007e662,ScholarlyArticle
jaccardms,GPT_4_Turbo_Preview,expected,0.7857142857142857,text2kg_prompt3,pset_length,stratum_1,15c8791c4cab6c6a950393560007e662,ScholarlyArticle
semantic,GPT_4_Turbo_Preview,pred,1.0,text2kg_prompt3,pset_length,stratum_1,15c8791c4cab6c6a950393560007e662,ScholarlyArticle
semantic,GPT_4_Turbo_Preview,expected,1.0,text2kg_prompt3,pset_length,stratum_1,15c8791c4cab6c6a950393560007e662,ScholarlyArticle
semantic,GPT_4_Turbo_Preview,pred,1.0,text2kg_prompt3,pset_length,stratum_1,97aecc6074c374c9f9681ca156d6bf1e,Blog
semantic,GPT_4_Turbo_Preview,expected,0.8571428571428571,text2kg_prompt3,pset_length,stratum_1,97aecc6074c374c9f9681ca156d6bf1e,Blog
