metric,approach,instance,value,prompt_ver,id,stratum
shacl,GPT_3_Turbo_16K,pred,0.8888888930041151,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/21a447da550c501812e5f3148cd3b223_Article_shacl.csv,1
shacl,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/21a447da550c501812e5f3148cd3b223_Article_shacl.csv,1
shacl,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/d6f28587c3142deb785f85c595c2c345_ScholarlyArticle_shacl.csv,1
shacl,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/d6f28587c3142deb785f85c595c2c345_ScholarlyArticle_shacl.csv,1
shacl,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/1bce98c5308e236f65e62a59ff815433_Article_shacl.csv,1
shacl,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/1bce98c5308e236f65e62a59ff815433_Article_shacl.csv,1
factual,GPT_3_Turbo_16K,pred,0.7037037037037037,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/21a447da550c501812e5f3148cd3b223_Article_factual.csv,1
factual,GPT_3_Turbo_16K,expected,0.5384615384615384,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/21a447da550c501812e5f3148cd3b223_Article_factual.csv,1
factual,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/d6f28587c3142deb785f85c595c2c345_ScholarlyArticle_factual.csv,1
factual,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/d6f28587c3142deb785f85c595c2c345_ScholarlyArticle_factual.csv,1
factual,GPT_3_Turbo_16K,pred,0.9090909090909092,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/1bce98c5308e236f65e62a59ff815433_Article_factual.csv,1
factual,GPT_3_Turbo_16K,expected,0.9333333333333332,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/1bce98c5308e236f65e62a59ff815433_Article_factual.csv,1
semantic,GPT_3_Turbo_16K,pred,0.9545454545454546,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/21a447da550c501812e5f3148cd3b223_Article_semantic.csv,1
semantic,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/21a447da550c501812e5f3148cd3b223_Article_semantic.csv,1
semantic,GPT_3_Turbo_16K,pred,0.7272727272727273,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/d6f28587c3142deb785f85c595c2c345_ScholarlyArticle_semantic.csv,1
semantic,GPT_3_Turbo_16K,expected,0.7,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/d6f28587c3142deb785f85c595c2c345_ScholarlyArticle_semantic.csv,1
semantic,GPT_3_Turbo_16K,pred,0.9,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/1bce98c5308e236f65e62a59ff815433_Article_semantic.csv,1
semantic,GPT_3_Turbo_16K,expected,0.9230769230769232,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/1bce98c5308e236f65e62a59ff815433_Article_semantic.csv,1
jaccardms,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_1/corpus/GPT_3_Turbo_16K/text2kg_prompt3/21a447da550c501812e5f3148cd3b223_Article_jaccardms.csv,1
